id_mahasiswa;Course;Age_at_enrollment;Gender;Debtor;Tuition_fees_up_to_date;Scholarship_holder;program_studi;skor_gerbang;pita_gerbang;skor_tahun_pertama;pita_tahun_pertama;kenaikan_risiko
MHS0787;9238;20;0;0;1;0;Pekerjaan Sosial;0.1213;Aman;0.9801;Kritis;0.8588
MHS0488;9670;19;1;0;1;0;Manajemen Periklanan dan Pemasaran;0.4666;Prioritas;0.9801;Kritis;0.5135
MHS0044;9773;18;0;0;1;0;Jurnalisme dan Komunikasi;0.2149;Aman;0.9801;Kritis;0.7652
MHS0616;9147;18;0;0;1;0;Manajemen;0.3699;Prioritas;0.9801;Kritis;0.6102
MHS0168;9238;31;0;0;1;0;Pekerjaan Sosial;0.2519;Prioritas;0.9801;Kritis;0.7282
MHS0157;9119;18;1;1;0;0;Teknik Informatika;0.9938;Kritis;0.9801;Kritis;-0.0137
MHS0554;9119;27;1;1;0;0;Teknik Informatika;0.9921;Kritis;0.9801;Kritis;-0.012
MHS0353;9991;34;0;0;1;0;Manajemen (kelas malam);0.4108;Prioritas;0.9801;Kritis;0.5693
MHS0498;9003;23;1;0;1;0;Agronomi;0.3814;Prioritas;0.9801;Kritis;0.5987
MHS0510;9991;29;1;0;1;0;Manajemen (kelas malam);0.6294;Prioritas;0.9801;Kritis;0.3507
MHS0326;9147;19;0;0;1;0;Manajemen;0.3737;Prioritas;0.9801;Kritis;0.6064
MHS0015;9070;24;1;0;1;0;Desain Komunikasi;0.3255;Prioritas;0.9801;Kritis;0.6546
MHS0753;9991;20;0;0;1;0;Manajemen (kelas malam);0.2374;Prioritas;0.9801;Kritis;0.7427
MHS0030;9147;22;0;1;0;0;Manajemen;0.9596;Kritis;0.98;Kritis;0.0204
MHS0674;9003;19;1;0;1;0;Agronomi;0.3507;Prioritas;0.98;Kritis;0.6293
MHS0391;9085;25;1;1;0;0;Keperawatan Hewan;0.9767;Kritis;0.98;Kritis;0.0033
MHS0649;9147;19;1;0;1;0;Manajemen;0.4976;Prioritas;0.9799;Kritis;0.4823
MHS0458;9238;20;0;0;1;0;Pekerjaan Sosial;0.1564;Aman;0.9799;Kritis;0.8235
MHS0017;9147;18;1;0;1;0;Manajemen;0.503;Prioritas;0.9798;Kritis;0.4768
MHS0772;9085;21;1;0;1;0;Keperawatan Hewan;0.4252;Prioritas;0.9798;Kritis;0.5546
MHS0647;9119;18;1;0;1;0;Teknik Informatika;0.634;Prioritas;0.9798;Kritis;0.3458
MHS0425;9119;20;1;0;1;0;Teknik Informatika;0.8205;Kritis;0.9798;Kritis;0.1593
MHS0207;9119;25;1;0;1;0;Teknik Informatika;0.9141;Kritis;0.9798;Kritis;0.0657
MHS0020;9119;18;1;1;1;0;Teknik Informatika;0.8447;Kritis;0.9798;Kritis;0.1351
MHS0699;9070;22;1;0;1;0;Desain Komunikasi;0.5078;Prioritas;0.9797;Kritis;0.4719
MHS0538;9500;18;0;0;1;0;Keperawatan;0.1399;Aman;0.9796;Kritis;0.8397
MHS0375;9238;19;0;0;1;0;Pekerjaan Sosial;0.1134;Aman;0.9794;Kritis;0.866
MHS0646;9500;33;1;0;1;0;Keperawatan;0.6533;Kritis;0.9794;Kritis;0.3261
MHS0631;9003;27;1;0;1;0;Agronomi;0.2321;Prioritas;0.9794;Kritis;0.7473
MHS0265;9147;18;1;1;1;0;Manajemen;0.5177;Prioritas;0.9794;Kritis;0.4617
MHS0268;9130;20;0;1;0;0;Manajemen Kuda;0.9797;Kritis;0.9793;Kritis;-0.0004
MHS0411;9119;19;1;0;1;0;Teknik Informatika;0.6343;Prioritas;0.9793;Kritis;0.345
MHS0485;9119;20;1;1;1;0;Teknik Informatika;0.7128;Kritis;0.9793;Kritis;0.2665
MHS0707;9147;23;1;0;1;0;Manajemen;0.5012;Prioritas;0.9792;Kritis;0.478
MHS0333;9119;34;1;0;1;0;Teknik Informatika;0.8786;Kritis;0.9791;Kritis;0.1005
MHS0001;9238;18;0;0;1;0;Pekerjaan Sosial;0.1533;Aman;0.9791;Kritis;0.8258
MHS0038;8014;23;0;0;1;0;Pekerjaan Sosial (kelas malam);0.1227;Aman;0.9791;Kritis;0.8564
MHS0415;9119;24;1;1;1;0;Teknik Informatika;0.939;Kritis;0.979;Kritis;0.04
MHS0396;9003;20;1;0;1;0;Agronomi;0.4926;Prioritas;0.979;Kritis;0.4864
MHS0059;9003;30;0;1;1;1;Agronomi;0.212;Aman;0.979;Kritis;0.767
MHS0482;9003;26;1;1;1;0;Agronomi;0.5484;Prioritas;0.9789;Kritis;0.4305
MHS0533;8014;34;0;0;1;0;Pekerjaan Sosial (kelas malam);0.3688;Prioritas;0.9787;Kritis;0.6099
MHS0170;9119;24;1;0;1;0;Teknik Informatika;0.8562;Kritis;0.9787;Kritis;0.1225
MHS0208;9670;21;0;1;1;0;Manajemen Periklanan dan Pemasaran;0.218;Aman;0.9786;Kritis;0.7606
MHS0008;9147;18;1;0;0;0;Manajemen;0.8591;Kritis;0.9786;Kritis;0.1195
MHS0490;9556;26;0;0;1;1;Kesehatan Gigi dan Mulut;0.1523;Aman;0.9786;Kritis;0.8263
MHS0300;9085;24;0;1;0;0;Keperawatan Hewan;0.9507;Kritis;0.9786;Kritis;0.0279
MHS0163;9085;28;0;1;1;0;Keperawatan Hewan;0.3905;Prioritas;0.9785;Kritis;0.588
MHS0713;9500;20;0;0;1;1;Keperawatan;0.0322;Aman;0.9785;Kritis;0.9463
MHS0659;9238;20;0;0;1;0;Pekerjaan Sosial;0.1397;Aman;0.9783;Kritis;0.8386
MHS0750;9147;18;0;0;1;0;Manajemen;0.362;Prioritas;0.9781;Kritis;0.6161
MHS0171;9119;18;1;1;0;0;Teknik Informatika;0.9891;Kritis;0.978;Kritis;-0.0111
MHS0347;9500;20;0;0;1;1;Keperawatan;0.074;Aman;0.9779;Kritis;0.9039
MHS0507;9773;23;0;0;1;0;Jurnalisme dan Komunikasi;0.4659;Prioritas;0.9778;Kritis;0.5119
MHS0404;9119;23;1;0;1;0;Teknik Informatika;0.8348;Kritis;0.9778;Kritis;0.143
MHS0092;9070;18;0;0;1;0;Desain Komunikasi;0.1446;Aman;0.9778;Kritis;0.8332
MHS0308;9119;20;1;0;1;0;Teknik Informatika;0.7797;Kritis;0.9778;Kritis;0.1981
MHS0598;9773;21;1;0;1;0;Jurnalisme dan Komunikasi;0.4927;Prioritas;0.9777;Kritis;0.485
MHS0033;9003;47;0;1;1;0;Agronomi;0.3739;Prioritas;0.9774;Kritis;0.6035
MHS0493;9130;21;0;0;1;0;Manajemen Kuda;0.4377;Prioritas;0.9774;Kritis;0.5397
MHS0312;9147;32;1;1;1;0;Manajemen;0.7663;Kritis;0.9773;Kritis;0.211
MHS0601;9119;19;1;0;1;0;Teknik Informatika;0.4501;Prioritas;0.9772;Kritis;0.5271
MHS0743;9147;20;0;0;1;0;Manajemen;0.2544;Prioritas;0.9772;Kritis;0.7228
MHS0466;9147;23;0;0;1;0;Manajemen;0.5027;Prioritas;0.9771;Kritis;0.4744
MHS0776;9119;18;1;0;1;0;Teknik Informatika;0.5599;Prioritas;0.9771;Kritis;0.4172
MHS0438;9147;27;1;0;1;0;Manajemen;0.3829;Prioritas;0.9769;Kritis;0.594
MHS0395;9500;21;1;0;1;1;Keperawatan;0.0865;Aman;0.9769;Kritis;0.8904
MHS0416;9119;22;1;0;1;0;Teknik Informatika;0.7404;Kritis;0.9765;Kritis;0.2361
MHS0070;9085;21;0;0;1;0;Keperawatan Hewan;0.2159;Aman;0.9764;Kritis;0.7605
MHS0689;9119;18;1;0;1;0;Teknik Informatika;0.5759;Prioritas;0.9763;Kritis;0.4004
MHS0709;9147;19;0;1;1;0;Manajemen;0.5618;Prioritas;0.9762;Kritis;0.4144
MHS0641;9991;38;1;0;1;0;Manajemen (kelas malam);0.7304;Kritis;0.9757;Kritis;0.2453
MHS0164;9147;18;0;0;1;0;Manajemen;0.3163;Prioritas;0.9756;Kritis;0.6593
MHS0246;9670;19;1;0;1;0;Manajemen Periklanan dan Pemasaran;0.1831;Aman;0.9756;Kritis;0.7925
MHS0079;9130;18;0;1;1;0;Manajemen Kuda;0.6776;Kritis;0.975;Kritis;0.2974
MHS0463;9147;24;0;0;1;0;Manajemen;0.3194;Prioritas;0.9749;Kritis;0.6555
MHS0389;9254;19;1;0;1;0;Pariwisata;0.4556;Prioritas;0.9748;Kritis;0.5192
MHS0073;9254;20;0;0;1;0;Pariwisata;0.4771;Prioritas;0.9747;Kritis;0.4976
MHS0656;9119;19;1;0;1;0;Teknik Informatika;0.7492;Kritis;0.9744;Kritis;0.2252
MHS0335;9500;48;0;0;1;0;Keperawatan;0.2373;Prioritas;0.9743;Kritis;0.737
MHS0093;9119;24;1;0;1;0;Teknik Informatika;0.9132;Kritis;0.9741;Kritis;0.0609
MHS0673;9147;20;1;0;1;0;Manajemen;0.4618;Prioritas;0.974;Kritis;0.5122
MHS0780;9773;20;0;0;1;0;Jurnalisme dan Komunikasi;0.2442;Prioritas;0.9736;Kritis;0.7294
MHS0603;9119;20;1;0;1;0;Teknik Informatika;0.7709;Kritis;0.973;Kritis;0.2021
MHS0076;9147;20;0;0;1;0;Manajemen;0.5433;Prioritas;0.9729;Kritis;0.4296
MHS0428;9773;22;1;0;1;0;Jurnalisme dan Komunikasi;0.4754;Prioritas;0.9728;Kritis;0.4974
MHS0779;9147;21;0;0;1;0;Manajemen;0.2189;Aman;0.9728;Kritis;0.7539
MHS0293;9119;19;1;0;1;0;Teknik Informatika;0.522;Prioritas;0.9728;Kritis;0.4508
MHS0794;33;25;1;0;1;0;Teknologi Produksi Biofuel;0.5303;Prioritas;0.9727;Kritis;0.4424
MHS0792;9070;20;1;0;1;0;Desain Komunikasi;0.2733;Prioritas;0.9724;Kritis;0.6991
MHS0127;9085;20;1;0;0;0;Keperawatan Hewan;0.9116;Kritis;0.9724;Kritis;0.0608
MHS0277;9147;18;1;0;1;0;Manajemen;0.4781;Prioritas;0.9723;Kritis;0.4942
MHS0338;9085;21;0;0;1;0;Keperawatan Hewan;0.4275;Prioritas;0.9719;Kritis;0.5444
MHS0242;9119;19;0;1;1;0;Teknik Informatika;0.3163;Prioritas;0.9716;Kritis;0.6553
MHS0752;9853;18;0;1;1;0;Pendidikan Dasar;0.8007;Kritis;0.9714;Kritis;0.1707
MHS0014;9070;19;1;0;1;0;Desain Komunikasi;0.3681;Prioritas;0.971;Kritis;0.6029
MHS0169;9119;18;1;0;1;0;Teknik Informatika;0.5164;Prioritas;0.971;Kritis;0.4546
MHS0633;9130;20;1;0;1;0;Manajemen Kuda;0.671;Kritis;0.9708;Kritis;0.2998
MHS0605;9991;26;1;0;1;0;Manajemen (kelas malam);0.3854;Prioritas;0.9708;Kritis;0.5854
MHS0427;9147;18;1;0;1;0;Manajemen;0.3469;Prioritas;0.9705;Kritis;0.6236
MHS0441;9130;19;1;0;1;0;Manajemen Kuda;0.7462;Kritis;0.9704;Kritis;0.2242
MHS0220;9085;21;0;0;1;0;Keperawatan Hewan;0.228;Prioritas;0.9703;Kritis;0.7423
MHS0135;9147;40;1;1;1;0;Manajemen;0.5157;Prioritas;0.9703;Kritis;0.4546
MHS0270;9556;19;0;1;1;0;Kesehatan Gigi dan Mulut;0.2079;Aman;0.9701;Kritis;0.7622
MHS0078;9556;18;0;0;1;0;Kesehatan Gigi dan Mulut;0.4174;Prioritas;0.97;Kritis;0.5526
MHS0119;9238;21;0;0;1;0;Pekerjaan Sosial;0.0994;Aman;0.9699;Kritis;0.8705
MHS0144;9147;20;0;1;1;0;Manajemen;0.6977;Kritis;0.9697;Kritis;0.272
MHS0635;9670;21;1;0;1;0;Manajemen Periklanan dan Pemasaran;0.4447;Prioritas;0.9697;Kritis;0.525
MHS0444;9147;20;1;0;1;0;Manajemen;0.5528;Prioritas;0.9696;Kritis;0.4168
MHS0101;9147;20;1;0;1;0;Manajemen;0.7311;Kritis;0.9691;Kritis;0.238
MHS0068;9238;19;0;0;1;0;Pekerjaan Sosial;0.0963;Aman;0.9689;Kritis;0.8726
MHS0716;9556;20;0;0;1;0;Kesehatan Gigi dan Mulut;0.0465;Aman;0.9688;Kritis;0.9223
MHS0439;9119;18;1;0;1;0;Teknik Informatika;0.5429;Prioritas;0.9686;Kritis;0.4257
MHS0595;171;19;1;0;1;0;Desain Animasi dan Multimedia;0.4004;Prioritas;0.9684;Kritis;0.568
MHS0514;9773;18;0;0;1;0;Jurnalisme dan Komunikasi;0.4446;Prioritas;0.9683;Kritis;0.5237
MHS0742;9085;44;0;0;0;1;Keperawatan Hewan;0.6559;Kritis;0.9682;Kritis;0.3123
MHS0324;9085;19;0;0;0;0;Keperawatan Hewan;0.8203;Kritis;0.9681;Kritis;0.1478
MHS0337;9070;19;0;0;1;0;Desain Komunikasi;0.1392;Aman;0.9681;Kritis;0.8289
MHS0161;9991;37;0;0;1;0;Manajemen (kelas malam);0.6248;Prioritas;0.9675;Kritis;0.3427
MHS0661;9238;21;0;1;1;0;Pekerjaan Sosial;0.2203;Prioritas;0.9673;Kritis;0.747
MHS0652;9003;22;1;0;1;0;Agronomi;0.4234;Prioritas;0.9672;Kritis;0.5438
MHS0152;9119;18;1;0;1;0;Teknik Informatika;0.6473;Prioritas;0.9671;Kritis;0.3198
MHS0261;9003;39;0;0;1;0;Agronomi;0.5867;Prioritas;0.967;Kritis;0.3803
MHS0681;9085;23;0;0;1;0;Keperawatan Hewan;0.3359;Prioritas;0.9668;Kritis;0.6309
MHS0301;9500;33;1;0;1;1;Keperawatan;0.1391;Aman;0.9666;Kritis;0.8275
MHS0122;9238;18;0;1;1;0;Pekerjaan Sosial;0.2354;Prioritas;0.9665;Kritis;0.7311
MHS0090;9500;27;0;0;1;0;Keperawatan;0.2398;Prioritas;0.9663;Kritis;0.7265
MHS0688;9003;22;1;0;1;0;Agronomi;0.4335;Prioritas;0.9662;Kritis;0.5327
MHS0523;9991;50;0;0;1;0;Manajemen (kelas malam);0.5224;Prioritas;0.9659;Kritis;0.4435
MHS0469;9254;22;0;0;1;0;Pariwisata;0.4181;Prioritas;0.9659;Kritis;0.5478
MHS0102;9254;23;1;1;1;0;Pariwisata;0.8063;Kritis;0.9658;Kritis;0.1595
MHS0455;9119;18;1;0;1;0;Teknik Informatika;0.5711;Prioritas;0.9652;Kritis;0.3941
MHS0596;9119;34;1;1;1;1;Teknik Informatika;0.7825;Kritis;0.9651;Kritis;0.1826
MHS0670;9254;19;1;0;1;0;Pariwisata;0.5232;Prioritas;0.9647;Kritis;0.4415
MHS0037;9238;21;0;1;0;0;Pekerjaan Sosial;0.8936;Kritis;0.9644;Kritis;0.0708
MHS0252;9119;20;1;0;1;0;Teknik Informatika;0.6774;Kritis;0.9643;Kritis;0.2869
MHS0378;9119;18;1;0;1;0;Teknik Informatika;0.773;Kritis;0.9642;Kritis;0.1912
MHS0153;9556;23;1;0;1;0;Kesehatan Gigi dan Mulut;0.2885;Prioritas;0.9642;Kritis;0.6757
MHS0634;9773;23;1;0;1;0;Jurnalisme dan Komunikasi;0.467;Prioritas;0.964;Kritis;0.497
MHS0682;9556;25;0;0;1;0;Kesehatan Gigi dan Mulut;0.2831;Prioritas;0.9638;Kritis;0.6807
MHS0534;9500;19;0;0;1;0;Keperawatan;0.1649;Aman;0.963;Kritis;0.7981
MHS0448;9119;20;1;0;1;0;Teknik Informatika;0.3842;Prioritas;0.963;Kritis;0.5788
MHS0693;9238;20;1;0;1;0;Pekerjaan Sosial;0.3007;Prioritas;0.9625;Kritis;0.6618
MHS0215;9254;26;1;0;1;0;Pariwisata;0.5649;Prioritas;0.9621;Kritis;0.3972
MHS0600;9670;20;1;1;0;0;Manajemen Periklanan dan Pemasaran;0.9738;Kritis;0.9619;Kritis;-0.0119
MHS0748;9853;20;0;0;1;0;Pendidikan Dasar;0.7064;Kritis;0.9619;Kritis;0.2555
MHS0676;9254;21;1;0;1;0;Pariwisata;0.5708;Prioritas;0.9612;Kritis;0.3904
MHS0520;9670;22;0;0;1;0;Manajemen Periklanan dan Pemasaran;0.1617;Aman;0.9605;Kritis;0.7988
MHS0115;9147;18;0;0;1;0;Manajemen;0.3047;Prioritas;0.9604;Kritis;0.6557
MHS0630;9238;28;1;1;1;0;Pekerjaan Sosial;0.6981;Kritis;0.9602;Kritis;0.2621
MHS0433;9085;21;1;0;1;0;Keperawatan Hewan;0.3495;Prioritas;0.9601;Kritis;0.6106
MHS0383;9147;22;1;0;1;0;Manajemen;0.5646;Prioritas;0.96;Kritis;0.3954
MHS0074;9773;19;0;0;1;0;Jurnalisme dan Komunikasi;0.1943;Aman;0.9584;Kritis;0.7641
MHS0548;9147;19;0;0;1;0;Manajemen;0.4603;Prioritas;0.9583;Kritis;0.498
MHS0669;9130;33;1;0;1;0;Manajemen Kuda;0.6305;Prioritas;0.9582;Kritis;0.3277
MHS0297;9119;18;1;0;1;0;Teknik Informatika;0.5259;Prioritas;0.958;Kritis;0.4321
MHS0175;9085;22;0;0;1;0;Keperawatan Hewan;0.2577;Prioritas;0.9579;Kritis;0.7002
MHS0318;9147;19;1;1;1;0;Manajemen;0.601;Prioritas;0.9575;Kritis;0.3565
MHS0452;9003;19;0;0;1;0;Agronomi;0.1856;Aman;0.956;Kritis;0.7704
MHS0576;9147;21;1;0;1;0;Manajemen;0.5146;Prioritas;0.9556;Kritis;0.441
MHS0327;9085;21;0;0;1;0;Keperawatan Hewan;0.2597;Prioritas;0.9553;Kritis;0.6956
MHS0454;9119;18;1;1;1;0;Teknik Informatika;0.862;Kritis;0.9553;Kritis;0.0933
MHS0349;9853;18;0;1;1;0;Pendidikan Dasar;0.8234;Kritis;0.9549;Kritis;0.1315
MHS0711;9254;22;0;0;1;0;Pariwisata;0.2887;Prioritas;0.9549;Kritis;0.6662
MHS0392;9991;37;1;0;1;0;Manajemen (kelas malam);0.5524;Prioritas;0.9543;Kritis;0.4019
MHS0487;9670;21;1;1;0;0;Manajemen Periklanan dan Pemasaran;0.9247;Kritis;0.9528;Kritis;0.0281
MHS0496;9238;18;0;0;1;0;Pekerjaan Sosial;0.2018;Aman;0.9525;Kritis;0.7507
MHS0066;9085;21;0;0;1;0;Keperawatan Hewan;0.2877;Prioritas;0.9525;Kritis;0.6648
MHS0103;9130;20;1;0;1;0;Manajemen Kuda;0.4127;Prioritas;0.9524;Kritis;0.5397
MHS0116;9147;18;0;0;1;0;Manajemen;0.2456;Prioritas;0.9524;Kritis;0.7068
MHS0403;9119;19;1;0;1;0;Teknik Informatika;0.8505;Kritis;0.9501;Kritis;0.0996
MHS0570;9147;18;0;0;1;0;Manajemen;0.2624;Prioritas;0.9492;Kritis;0.6868
MHS0009;9991;24;0;0;1;0;Manajemen (kelas malam);0.2606;Prioritas;0.9491;Kritis;0.6885
MHS0381;9070;19;1;0;1;0;Desain Komunikasi;0.4377;Prioritas;0.9491;Kritis;0.5114
MHS0492;9085;21;0;0;1;0;Keperawatan Hewan;0.3399;Prioritas;0.949;Kritis;0.6091
MHS0238;9254;19;0;0;1;0;Pariwisata;0.2159;Aman;0.9489;Kritis;0.733
MHS0502;9991;25;0;0;1;0;Manajemen (kelas malam);0.4705;Prioritas;0.9475;Kritis;0.477
MHS0436;171;18;1;1;0;0;Desain Animasi dan Multimedia;0.9713;Kritis;0.9457;Kritis;-0.0256
MHS0294;9773;19;1;0;1;0;Jurnalisme dan Komunikasi;0.3753;Prioritas;0.9451;Kritis;0.5698
MHS0160;9238;20;0;0;1;0;Pekerjaan Sosial;0.2463;Prioritas;0.9423;Kritis;0.696
MHS0763;9238;22;1;0;1;0;Pekerjaan Sosial;0.2664;Prioritas;0.942;Kritis;0.6756
MHS0663;9085;26;0;0;1;0;Keperawatan Hewan;0.3434;Prioritas;0.9405;Kritis;0.5971
MHS0399;9085;21;1;0;0;0;Keperawatan Hewan;0.9057;Kritis;0.9399;Kritis;0.0342
MHS0221;9085;18;0;0;1;0;Keperawatan Hewan;0.178;Aman;0.9381;Kritis;0.7601
MHS0341;9085;20;0;0;1;0;Keperawatan Hewan;0.3094;Prioritas;0.938;Kritis;0.6286
MHS0089;9070;18;0;0;0;0;Desain Komunikasi;0.7995;Kritis;0.9375;Kritis;0.138
MHS0608;9085;19;0;0;1;0;Keperawatan Hewan;0.1994;Aman;0.937;Kritis;0.7376
MHS0568;9130;20;0;0;1;0;Manajemen Kuda;0.4317;Prioritas;0.9367;Kritis;0.505
MHS0219;9147;18;0;0;1;0;Manajemen;0.4152;Prioritas;0.9364;Kritis;0.5212
MHS0401;9003;21;1;0;1;0;Agronomi;0.267;Prioritas;0.9358;Kritis;0.6688
MHS0331;9254;19;1;0;1;0;Pariwisata;0.5606;Prioritas;0.9358;Kritis;0.3752
MHS0305;9254;19;1;0;1;0;Pariwisata;0.5959;Prioritas;0.9358;Kritis;0.3399
MHS0572;9070;20;1;0;1;1;Desain Komunikasi;0.1131;Aman;0.9353;Kritis;0.8222
MHS0350;9238;20;0;1;1;0;Pekerjaan Sosial;0.4104;Prioritas;0.9348;Kritis;0.5244
MHS0154;9147;22;1;0;0;0;Manajemen;0.9519;Kritis;0.9344;Kritis;-0.0175
MHS0522;9085;25;0;0;1;1;Keperawatan Hewan;0.1216;Aman;0.9341;Kritis;0.8125
MHS0332;9991;27;1;0;1;0;Manajemen (kelas malam);0.6391;Prioritas;0.9333;Kritis;0.2942
MHS0393;9119;19;1;0;1;0;Teknik Informatika;0.7812;Kritis;0.9328;Kritis;0.1516
MHS0346;9085;24;0;1;0;0;Keperawatan Hewan;0.9118;Kritis;0.9304;Kritis;0.0186
MHS0357;9991;34;0;0;1;0;Manajemen (kelas malam);0.2472;Prioritas;0.93;Kritis;0.6828
MHS0316;9254;19;1;0;1;0;Pariwisata;0.622;Prioritas;0.9294;Kritis;0.3074
MHS0367;9085;18;0;0;1;0;Keperawatan Hewan;0.2109;Aman;0.9289;Kritis;0.718
MHS0445;9773;20;1;0;1;0;Jurnalisme dan Komunikasi;0.5379;Prioritas;0.9288;Kritis;0.3909
MHS0274;9070;18;0;0;1;0;Desain Komunikasi;0.1376;Aman;0.9265;Kritis;0.7889
