id_mahasiswa;Marital_status;Application_mode;Application_order;Course;Daytime_evening_attendance;Previous_qualification;Previous_qualification_grade;Nacionality;Mothers_qualification;Fathers_qualification;Mothers_occupation;Fathers_occupation;Admission_grade;Displaced;Educational_special_needs;Debtor;Tuition_fees_up_to_date;Gender;Scholarship_holder;Age_at_enrollment;International;Curricular_units_1st_sem_credited;Curricular_units_1st_sem_enrolled;Curricular_units_1st_sem_evaluations;Curricular_units_1st_sem_approved;Curricular_units_1st_sem_grade;Curricular_units_1st_sem_without_evaluations;Curricular_units_2nd_sem_credited;Curricular_units_2nd_sem_enrolled;Curricular_units_2nd_sem_evaluations;Curricular_units_2nd_sem_approved;Curricular_units_2nd_sem_grade;Curricular_units_2nd_sem_without_evaluations;Unemployment_rate;Inflation_rate;GDP;Status;skor_gerbang;pita_gerbang;skor_tahun_pertama;pita_tahun_pertama;asal_skor
MHS0001;1;17;5;171;1;1;122.0;1;19;12;5;9;127.3;1;0;0;1;1;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Dropout;0.5636;Prioritas;0.5072;Prioritas;data uji
MHS0002;1;15;1;9254;1;1;160.0;1;1;3;3;3;142.5;1;0;0;0;1;0;19;0;0;6;6;6;14.0;0;0;6;6;6;13.666666666666666;0;13.9;-0.3;0.79;Graduate;0.8632;Kritis;0.2858;Aman;validasi silang
MHS0003;1;1;5;9070;1;1;122.0;1;37;37;9;9;124.8;1;0;0;0;1;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;10.8;1.4;1.74;Dropout;0.875;Kritis;0.9796;Kritis;validasi silang
MHS0004;1;17;2;9773;1;1;122.0;1;38;37;5;3;119.6;1;0;0;1;0;0;20;0;0;6;8;6;13.428571428571429;0;0;6;10;5;12.4;0;9.4;-0.8;-3.12;Graduate;0.4032;Prioritas;0.0885;Aman;validasi silang
MHS0005;2;39;1;8014;0;1;100.0;1;37;38;9;9;141.5;0;0;0;1;0;0;45;0;0;6;9;5;12.333333333333334;0;0;6;6;6;13.0;0;13.9;-0.3;0.79;Graduate;0.1675;Aman;0.0413;Aman;validasi silang
MHS0006;2;39;1;9991;0;19;133.1;1;37;37;9;7;114.8;0;0;1;1;1;0;50;0;0;5;10;5;11.857142857142858;0;0;5;17;5;11.5;5;16.2;0.3;-0.92;Graduate;0.9123;Kritis;0.4448;Prioritas;data uji
MHS0007;1;1;1;9500;1;1;142.0;1;19;38;7;10;128.4;1;0;0;1;0;1;18;0;0;7;9;7;13.3;0;0;8;8;8;14.345;0;15.5;2.8;-4.06;Graduate;0.045;Aman;0.0303;Aman;data uji
MHS0008;1;18;4;9254;1;1;119.0;1;37;37;9;9;113.1;1;0;0;0;1;0;22;0;0;5;5;0;0.0;0;0;5;5;0;0.0;0;15.5;2.8;-4.06;Dropout;0.9703;Kritis;0.9798;Kritis;validasi silang
MHS0009;1;1;3;9238;1;1;137.0;62;1;1;9;9;129.3;0;0;0;1;0;1;21;1;0;6;8;6;13.875;0;0;6;7;6;14.142857142857142;0;16.2;0.3;-0.92;Graduate;0.0351;Aman;0.0633;Aman;validasi silang
MHS0010;1;1;1;9238;1;1;138.0;1;1;19;4;7;123.0;1;0;1;0;0;0;18;0;0;6;9;5;11.4;0;0;6;14;2;13.5;0;8.9;1.4;3.51;Dropout;0.8175;Kritis;0.9732;Kritis;validasi silang
MHS0011;1;1;1;9670;1;1;139.0;1;38;19;5;7;130.6;1;0;0;1;0;0;18;0;0;6;6;6;12.333333333333334;0;0;6;7;5;14.2;0;13.9;-0.3;0.79;Graduate;0.1581;Aman;0.0674;Aman;validasi silang
MHS0012;1;1;1;9500;1;1;136.0;1;19;38;9;9;119.3;1;0;0;1;0;1;18;0;0;8;8;7;13.214285714285714;0;0;8;8;7;13.214285714285714;0;12.7;3.7;-1.7;Graduate;0.0354;Aman;0.0275;Aman;data uji
MHS0013;1;1;2;9853;1;1;133.0;1;19;37;4;9;130.2;1;0;0;1;0;0;19;0;0;6;6;0;0.0;0;0;6;0;0;0.0;0;12.7;3.7;-1.7;Dropout;0.4129;Prioritas;0.9794;Kritis;validasi silang
MHS0014;1;53;1;9254;1;42;110.0;1;1;1;4;7;111.8;1;0;0;1;0;1;21;0;0;6;7;6;10.571428571428571;0;0;6;8;5;11.0;0;8.9;1.4;3.51;Graduate;0.124;Aman;0.0757;Aman;validasi silang
MHS0015;1;1;1;9085;1;1;149.0;1;38;37;5;5;137.1;1;0;0;1;0;1;18;0;0;5;7;4;13.25;0;0;5;5;5;12.0;0;10.8;1.4;1.74;Graduate;0.0598;Aman;0.0349;Aman;validasi silang
MHS0016;1;1;1;9773;1;1;127.0;1;19;37;9;3;120.7;1;0;0;1;0;0;20;0;0;6;6;5;13.2;0;0;6;7;0;0.0;0;15.5;2.8;-4.06;Dropout;0.2798;Prioritas;0.9747;Kritis;data uji
MHS0017;1;18;1;9238;1;1;137.0;1;19;38;5;8;137.4;1;0;0;1;0;0;18;0;0;6;10;1;12.0;0;0;6;14;2;11.0;0;10.8;1.4;1.74;Enrolled;0.1533;Aman;0.9791;Kritis;mahasiswa aktif
